resp,loom,fishID,cond,ISI,speed
0.665345395,2,fish10_s20,s20,20ISI,slow
0.466186507,3,fish10_s20,s20,20ISI,slow
0.472273766,4,fish10_s20,s20,20ISI,slow
0.459202536,5,fish10_s20,s20,20ISI,slow
0.433913025,6,fish10_s20,s20,20ISI,slow
0.43430578,7,fish10_s20,s20,20ISI,slow
0.463885518,8,fish10_s20,s20,20ISI,slow
0.385557866,9,fish10_s20,s20,20ISI,slow
0.475158438,10,fish10_s20,s20,20ISI,slow
1,1,fish1_s60,s60,60ISI,slow
0.766358721,2,fish1_s60,s60,60ISI,slow
0.653868179,3,fish1_s60,s60,60ISI,slow
0.533859367,4,fish1_s60,s60,60ISI,slow
0.57013612,5,fish1_s60,s60,60ISI,slow
0.68151793,6,fish1_s60,s60,60ISI,slow
0.595463099,7,fish1_s60,s60,60ISI,slow
0.586276609,8,fish1_s60,s60,60ISI,slow
0.552800192,9,fish1_s60,s60,60ISI,slow
0.488995274,10,fish1_s60,s60,60ISI,slow
1,1,fish2_s60,s60,60ISI,slow
0.565860985,2,fish2_s60,s60,60ISI,slow
0.634006171,3,fish2_s60,s60,60ISI,slow
0.402343431,4,fish2_s60,s60,60ISI,slow
0.560646254,5,fish2_s60,s60,60ISI,slow
0.342445308,6,fish2_s60,s60,60ISI,slow
0.501506415,7,fish2_s60,s60,60ISI,slow
0.407970285,8,fish2_s60,s60,60ISI,slow
0.370039139,9,fish2_s60,s60,60ISI,slow
0.279577845,10,fish2_s60,s60,60ISI,slow
1,1,fish3_s60,s60,60ISI,slow
0.771176755,2,fish3_s60,s60,60ISI,slow
0.71624793,3,fish3_s60,s60,60ISI,slow
0.500365728,4,fish3_s60,s60,60ISI,slow
0.539128288,5,fish3_s60,s60,60ISI,slow
0.550124803,6,fish3_s60,s60,60ISI,slow
0.544407641,7,fish3_s60,s60,60ISI,slow
0.498655568,8,fish3_s60,s60,60ISI,slow
0.41945939,9,fish3_s60,s60,60ISI,slow
0.440319365,10,fish3_s60,s60,60ISI,slow
1,1,fish4_s60,s60,60ISI,slow
0.561108759,2,fish4_s60,s60,60ISI,slow
0.584517251,3,fish4_s60,s60,60ISI,slow
0.491634098,4,fish4_s60,s60,60ISI,slow
0.498930595,5,fish4_s60,s60,60ISI,slow
0.547447882,6,fish4_s60,s60,60ISI,slow
0.615687837,7,fish4_s60,s60,60ISI,slow
0.564645791,8,fish4_s60,s60,60ISI,slow
0.550777632,9,fish4_s60,s60,60ISI,slow
0.484713636,10,fish4_s60,s60,60ISI,slow
1,1,fish5_s60,s60,60ISI,slow
1.057127081,2,fish5_s60,s60,60ISI,slow
1.083095068,3,fish5_s60,s60,60ISI,slow
1.085625559,4,fish5_s60,s60,60ISI,slow
1.051121504,5,fish5_s60,s60,60ISI,slow
1.027620211,6,fish5_s60,s60,60ISI,slow
0.805261275,7,fish5_s60,s60,60ISI,slow
0.864737096,8,fish5_s60,s60,60ISI,slow
0.869979023,9,fish5_s60,s60,60ISI,slow
0.989426548,10,fish5_s60,s60,60ISI,slow
1,1,fish6_s60,s60,60ISI,slow
0.874366621,2,fish6_s60,s60,60ISI,slow
0.726705139,3,fish6_s60,s60,60ISI,slow
0.800292538,4,fish6_s60,s60,60ISI,slow
0.733007127,5,fish6_s60,s60,60ISI,slow
0.869355753,6,fish6_s60,s60,60ISI,slow
0.806974965,7,fish6_s60,s60,60ISI,slow
0.697078663,8,fish6_s60,s60,60ISI,slow
0.702790774,9,fish6_s60,s60,60ISI,slow
0.700506299,10,fish6_s60,s60,60ISI,slow
1,1,fish7_s60,s60,60ISI,slow
0.853321464,2,fish7_s60,s60,60ISI,slow
0.636764626,3,fish7_s60,s60,60ISI,slow
0.570528998,4,fish7_s60,s60,60ISI,slow
0.63291978,5,fish7_s60,s60,60ISI,slow
0.638527748,6,fish7_s60,s60,60ISI,slow
0.672437438,7,fish7_s60,s60,60ISI,slow
0.684590912,8,fish7_s60,s60,60ISI,slow
0.639759977,9,fish7_s60,s60,60ISI,slow
0.652271342,10,fish7_s60,s60,60ISI,slow
1,1,fish8_s60,s60,60ISI,slow
0.71494538,2,fish8_s60,s60,60ISI,slow
0.510012964,3,fish8_s60,s60,60ISI,slow
0.52461942,4,fish8_s60,s60,60ISI,slow
0.504079069,5,fish8_s60,s60,60ISI,slow
0.587087359,6,fish8_s60,s60,60ISI,slow
0.551383899,7,fish8_s60,s60,60ISI,slow
0.56734481,8,fish8_s60,s60,60ISI,slow
0.468142202,9,fish8_s60,s60,60ISI,slow
0.552334317,10,fish8_s60,s60,60ISI,slow
1,1,fish9_s60,s60,60ISI,slow
0.615516053,2,fish9_s60,s60,60ISI,slow
0.5275748,3,fish9_s60,s60,60ISI,slow
0.563243762,4,fish9_s60,s60,60ISI,slow
0.478333646,5,fish9_s60,s60,60ISI,slow
0.459911219,6,fish9_s60,s60,60ISI,slow
0.469621151,7,fish9_s60,s60,60ISI,slow
0.424402804,8,fish9_s60,s60,60ISI,slow
0.397230324,9,fish9_s60,s60,60ISI,slow
0.441569032,10,fish9_s60,s60,60ISI,slow
1,1,fish10_s60,s60,60ISI,slow
0.621272497,2,fish10_s60,s60,60ISI,slow
0.52840365,3,fish10_s60,s60,60ISI,slow
0.574075057,4,fish10_s60,s60,60ISI,slow
0.594679698,5,fish10_s60,s60,60ISI,slow
0.523381255,6,fish10_s60,s60,60ISI,slow
0.626927224,7,fish10_s60,s60,60ISI,slow
0.685241349,8,fish10_s60,s60,60ISI,slow
0.493078506,9,fish10_s60,s60,60ISI,slow
0.561013246,10,fish10_s60,s60,60ISI,slow
1,1,fish11_s60,s60,60ISI,slow
0.699073927,2,fish11_s60,s60,60ISI,slow
0.559548103,3,fish11_s60,s60,60ISI,slow
0.63542573,4,fish11_s60,s60,60ISI,slow
0.649810973,5,fish11_s60,s60,60ISI,slow
0.646530803,6,fish11_s60,s60,60ISI,slow
0.677028497,7,fish11_s60,s60,60ISI,slow
0.596497524,8,fish11_s60,s60,60ISI,slow
0.631988322,9,fish11_s60,s60,60ISI,slow
0.807708544,10,fish11_s60,s60,60ISI,slow
