fishID,loom,response,genotype
70,2,0,het
70,3,0,het
70,4,1,het
70,5,0,het
70,6,0,het
70,7,0,het
70,8,0,het
70,9,1,het
70,10,0,het
70,11,1,het
70,12,0,het
70,13,0,het
70,14,0,het
70,15,0,het
70,16,0,het
70,17,0,het
70,18,0,het
70,19,0,het
70,20,0,het
71,1,1,het
71,2,1,het
71,3,1,het
71,4,1,het
71,5,1,het
71,6,1,het
71,7,0,het
71,8,0,het
71,9,0,het
71,10,0,het
71,11,1,het
71,12,1,het
71,13,0,het
71,14,0,het
71,15,0,het
71,16,0,het
71,17,0,het
71,18,0,het
71,19,0,het
71,20,0,het
72,1,1,het
72,2,1,het
72,3,1,het
72,4,1,het
72,5,0,het
72,6,0,het
72,7,1,het
72,8,1,het
72,9,1,het
72,10,0,het
72,11,0,het
72,12,0,het
72,13,0,het
72,14,0,het
72,15,0,het
72,16,0,het
72,17,0,het
72,18,0,het
72,19,0,het
72,20,0,het
73,1,1,het
73,2,1,het
73,3,1,het
73,4,0,het
73,5,0,het
73,6,0,het
73,7,0,het
73,8,0,het
73,9,0,het
73,10,0,het
73,11,1,het
73,12,0,het
73,13,0,het
73,14,0,het
73,15,0,het
73,16,0,het
73,17,0,het
73,18,0,het
73,19,0,het
73,20,0,het
74,1,1,het
74,2,1,het
74,3,0,het
74,4,0,het
74,5,0,het
74,6,0,het
74,7,0,het
74,8,0,het
74,9,1,het
74,10,0,het
74,11,0,het
74,12,0,het
74,13,0,het
74,14,0,het
74,15,0,het
74,16,0,het
74,17,0,het
74,18,0,het
74,19,0,het
74,20,0,het
75,1,1,het
75,2,1,het
75,3,0,het
75,4,0,het
75,5,0,het
75,6,0,het
75,7,0,het
75,8,1,het
75,9,0,het
75,10,0,het
75,11,0,het
75,12,0,het
75,13,0,het
75,14,0,het
75,15,0,het
75,16,0,het
75,17,0,het
75,18,0,het
75,19,0,het
75,20,0,het
76,1,1,het
76,2,1,het
76,3,1,het
76,4,1,het
76,5,1,het
76,6,1,het
76,7,1,het
76,8,1,het
76,9,0,het
76,10,1,het
76,11,1,het
76,12,1,het
76,13,1,het
76,14,1,het
76,15,1,het
76,16,1,het
76,17,1,het
76,18,1,het
76,19,0,het
76,20,0,het
77,1,1,het
77,2,1,het
77,3,1,het
77,4,1,het
77,5,1,het
77,6,1,het
77,7,1,het
77,8,0,het
77,9,1,het
77,10,0,het
77,11,1,het
77,12,1,het
77,13,1,het
77,14,1,het
77,15,0,het
77,16,0,het
77,17,1,het
77,18,0,het
77,19,0,het
77,20,0,het
78,1,1,het
78,2,1,het
78,3,1,het
78,4,1,het
78,5,1,het
78,6,1,het
78,7,0,het
78,8,0,het
78,9,0,het
78,10,0,het
78,11,1,het
78,12,1,het
78,13,0,het
78,14,0,het
