resp,loom,fishID,cond,ISI,speed
0.389710127,6,fish5_s60,s60,60ISI,slow
0.393646198,7,fish5_s60,s60,60ISI,slow
0.358738781,8,fish5_s60,s60,60ISI,slow
0.320549925,9,fish5_s60,s60,60ISI,slow
0.315384847,10,fish5_s60,s60,60ISI,slow
1,1,fish6_s60,s60,60ISI,slow
0.443332032,2,fish6_s60,s60,60ISI,slow
0.318814323,3,fish6_s60,s60,60ISI,slow
0.246632197,4,fish6_s60,s60,60ISI,slow
0.267785447,5,fish6_s60,s60,60ISI,slow
0.231330718,6,fish6_s60,s60,60ISI,slow
0.209065362,7,fish6_s60,s60,60ISI,slow
0.186828241,8,fish6_s60,s60,60ISI,slow
0.25400979,9,fish6_s60,s60,60ISI,slow
0.178796266,10,fish6_s60,s60,60ISI,slow
1,1,fish7_s60,s60,60ISI,slow
0.476403137,2,fish7_s60,s60,60ISI,slow
0.334142391,3,fish7_s60,s60,60ISI,slow
0.316244532,4,fish7_s60,s60,60ISI,slow
0.292313661,5,fish7_s60,s60,60ISI,slow
0.244265892,6,fish7_s60,s60,60ISI,slow
0.26089876,7,fish7_s60,s60,60ISI,slow
0.202506978,8,fish7_s60,s60,60ISI,slow
0.196029282,9,fish7_s60,s60,60ISI,slow
0.179725986,10,fish7_s60,s60,60ISI,slow
1,1,fish8_s60,s60,60ISI,slow
0.645349006,2,fish8_s60,s60,60ISI,slow
0.362639931,3,fish8_s60,s60,60ISI,slow
0.336367953,4,fish8_s60,s60,60ISI,slow
0.268057671,5,fish8_s60,s60,60ISI,slow
0.185283793,6,fish8_s60,s60,60ISI,slow
0.158562644,7,fish8_s60,s60,60ISI,slow
0.170908414,8,fish8_s60,s60,60ISI,slow
0.149259174,9,fish8_s60,s60,60ISI,slow
0.202181217,10,fish8_s60,s60,60ISI,slow
1,1,fish9_s60,s60,60ISI,slow
0.388887988,2,fish9_s60,s60,60ISI,slow
0.325067683,3,fish9_s60,s60,60ISI,slow
0.275041643,4,fish9_s60,s60,60ISI,slow
0.22408796,5,fish9_s60,s60,60ISI,slow
0.211317989,6,fish9_s60,s60,60ISI,slow
0.210651811,7,fish9_s60,s60,60ISI,slow
0.185217344,8,fish9_s60,s60,60ISI,slow
0.13606666,9,fish9_s60,s60,60ISI,slow
0.197772824,10,fish9_s60,s60,60ISI,slow
1,1,fish10_s60,s60,60ISI,slow
0.321936161,2,fish10_s60,s60,60ISI,slow
0.263830994,3,fish10_s60,s60,60ISI,slow
0.261777162,4,fish10_s60,s60,60ISI,slow
0.137012984,5,fish10_s60,s60,60ISI,slow
0.172762627,6,fish10_s60,s60,60ISI,slow
0.172435182,7,fish10_s60,s60,60ISI,slow
0.246643118,8,fish10_s60,s60,60ISI,slow
0.180882499,9,fish10_s60,s60,60ISI,slow
0.137231489,10,fish10_s60,s60,60ISI,slow
1,1,fish11_s60,s60,60ISI,slow
0.38731705,2,fish11_s60,s60,60ISI,slow
0.280346826,3,fish11_s60,s60,60ISI,slow
0.264028866,4,fish11_s60,s60,60ISI,slow
0.245751229,5,fish11_s60,s60,60ISI,slow
0.224905416,6,fish11_s60,s60,60ISI,slow
0.299430234,7,fish11_s60,s60,60ISI,slow
0.302824105,8,fish11_s60,s60,60ISI,slow
0.166653976,9,fish11_s60,s60,60ISI,slow
0.210646977,10,fish11_s60,s60,60ISI,slow
